reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
dcee229c-c4a9-4208-b5d2-c48aa4c2c343,E,https://play-lh.googleusercontent.com/a/ACg8ocLKYDCwLp1dVi6C-4Lzwlho1LtU7tH_Av4ImFM3jX5YItUBPu4Z=mo,"I've redownload recently, it seems new UI feels nicer to read with 😍 Still as epub lover and senior citizen, if it's possible could you please add epub feature so we can adjust font size easily? pretty please 🥺",4,0,2.1.4,2026-07-08 17:48:50,,,2.1.4
521fe637-23b7-4139-a0d7-0ef337ce1428,some reasons,https://play-lh.googleusercontent.com/a-/ALV-UjXUbZ1DKwRRJIGQA1vEJBX-L3_wOiaWoKqFrNsSJqi34yWq_Pas,"aslinya suka sama koleksinya, tetapi fitur nya masih terbatas, semoga kedepannya bisa meningkat lagi",3,0,2.1.4,2026-07-06 00:45:37,,,2.1.4
444141a6-f51a-4ca7-93ec-e5daee0f1f95,Sua,https://play-lh.googleusercontent.com/a-/ALV-UjVFUH-DXwaZLUhrfLhUxD6wQFehRjDWbBUEGuGAVraiSIeQH9I7,"Tidak bisa meminjam buku:(, padahal niatnya mau nyoba aplikasi, tapi ternyata tidak bisa...",1,0,,2026-07-04 16:13:13,,,
cf577425-4cc2-4063-ac05-7ce6d637a5bb,Ewi Carpriany,https://play-lh.googleusercontent.com/a/ACg8ocLjTI5l0uFYLMQ0pAKB7_WJqVSFuVYJ6DStOszs52zLlK6Pgw=mo,please bikin aplikasinya yg proper dong kalau ngga di evaluasi lagi dan diperbaiki sesegera mungkin.Udah tau minat baca di indonesia rendah dan giliran pada suka sama aplikasinya eh taunya aplikasinya jelek banget eror terus huhu🥹🙄,1,0,2.1.4,2026-07-03 23:57:50,,,2.1.4
8462ec88-7eb5-4ad9-95c2-857b2af9d856,Kukuh Bayu Wardhana,https://play-lh.googleusercontent.com/a-/ALV-UjXZ-oql3SDvNtaotVuWAUiHjRZhVtSKSAfKbTq45Y5_jDo8RUDK,bandwith nya gedein. susah loginnya -_ gabisa loginnnn,1,0,2.1.4,2026-07-02 01:03:10,,,2.1.4
41be5269-4604-4ee4-8d4c-2f68848603a5,Irwan Setyawan,https://play-lh.googleusercontent.com/a-/ALV-UjXfGyZU7x8HEnmi34kazJHiSLs_ILYJ3JWi03GRrUgZr7BtA6o,aplikasi sampah buang-buang anggaran.,1,0,,2026-07-01 01:49:56,,,
355dc2aa-1da5-4cc5-9680-16f9875549e2,Meidiana Sugianto,https://play-lh.googleusercontent.com/a-/ALV-UjVNlmpvPjlXh77VbEJeUxtB0ovA8Tz6BT8Q6aORSZ_wjS0mD2EF,"bukunya kurang lengkap, padahal perpus nasional. kok gak selengkap yang sebelah ya?",1,0,,2026-06-29 12:24:09,,,
2fe3655e-5375-496e-853b-a267474a6d03,Novalinda Tglk,https://play-lh.googleusercontent.com/a/ACg8ocIk_wl9evb4vms5yPaQ_rug0b-Ah3H5hjLfjngwh4RbQxwMZQ=mo,"aku ngga tau kenapa, tetapi ketika aku coba mendaftar acc muncul pemberitahuan ""too many requests"" ??? previously aku ga pernah download apk ini, sama sekali ngga pernah. tolong di benarkan lagi yaa, terimakasih!",1,0,2.1.4,2026-06-28 12:18:55,,,2.1.4
5c4937e1-8a6f-46f3-85b5-d8d51a4871eb,samsary,https://play-lh.googleusercontent.com/a-/ALV-UjX7BxDhsU0Dzz05TLjwNUsdy3EU_w8p6H3qsEkHcFampSgX8LHZ,novel lockwood and co nya lengkapin plissss,4,0,2.1.4,2026-06-26 01:19:13,,,2.1.4
2664d873-11c9-4543-9218-82610b6e333e,I Gede Arya Mahendra,https://play-lh.googleusercontent.com/a/ACg8ocLMiEASYm2OaNNH_G425WmJoYRXocqVZlnUXJm9NwC5Lcehfpo=mo,"tidak bisa membuka buku yang sudah dipinjam, tertulis bisa di baca, tapi ketika di klik tidak bisa memuat ke halaman buku, padahal saya sudah menggunakan aplikasi resmi, dan tidak ada modifikasi apapun, tolong diperbaiki maslaah ini, apakah ini bug, gangguan atau semacamnya yang jelas tolong diperbaiki.",1,1,2.1.4,2026-06-25 08:05:43,,,2.1.4
